Model No.,Model Type,Accuracy,Precision,Recall,AUC,F1,Val_Accuracy,Val_Precision,Val_Recall,Val_AUC,Val_F1
4185409647505741208,AdaBoostGS,0.6966,0.675,0.7584,0.6966,0.7143,0.45,0.3061,0.6,0.4909,0.4054
4185409647505741208,LogisticRegressionGS,0.6489,0.6047,0.8596,0.6489,0.71,0.4,0.3115,0.76,0.4982,0.4419
8904050177197412012,NeuralNetworkGS,0.7247,0.7083,0.764,0.7247,0.7351,0.4375,0.2917,0.56,0.4709,0.3836
5920970412564183452,RandomForestClassifierGS,0.9888,0.9888,0.9888,0.9888,0.9888,0.575,0.3784,0.56,0.5709,0.4516
7667241423551124937,SVMGS,0.7079,0.7056,0.7135,0.7079,0.7095,0.4875,0.3182,0.56,0.5073,0.4058
7004891723421016754,XGBClassifier,0.9831,0.9778,0.9888,0.9831,0.9832,0.625,0.4242,0.56,0.6073,0.4828
3887006444049082299,AdaBoostGS,0.6707,0.6377,0.7904,0.6707,0.7059,0.5125,0.3542,0.68,0.5582,0.4658
3887006444049082299,LogisticRegressionGS,0.6557,0.6048,0.8982,0.6557,0.7229,0.4,0.3115,0.76,0.4982,0.4419
2467737921708129907,NeuralNetworkGS,0.7904,0.7709,0.8263,0.7904,0.7977,0.5375,0.35,0.56,0.5436,0.4308
5687162174207880377,RandomForestClassifierGS,0.994,0.9882,1.0,0.994,0.994,0.6375,0.4333,0.52,0.6055,0.4727
755731366473640916,SVMGS,0.6677,0.6609,0.6886,0.6677,0.6745,0.525,0.3415,0.56,0.5345,0.4242
3918306250242954403,XGBClassifier,0.988,0.988,0.988,0.988,0.988,0.675,0.4857,0.68,0.6764,0.5667
870130877051752123,AdaBoostGS,0.6453,0.6226,0.7374,0.6453,0.6752,0.6125,0.4118,0.56,0.5982,0.4746
870130877051752123,LogisticRegressionGS,0.6089,0.5699,0.8883,0.6089,0.6943,0.4875,0.3519,0.76,0.5618,0.481
4352892177498596293,NeuralNetworkGS,0.6844,0.6919,0.6648,0.6844,0.6781,0.625,0.4138,0.48,0.5855,0.4444
5442518363514229921,RandomForestClassifierGS,0.9944,0.9944,0.9944,0.9944,0.9944,0.65,0.4348,0.4,0.5818,0.4167
