Model No.,Model Type,Accuracy,Precision,Recall,AUC,F1,Val_Accuracy,Val_Precision,Val_Recall,Val_AUC,Val_F1
8390181163687590703,AdaBoost,0.6676,0.6685,0.6648,0.6676,0.6667,0.7375,0.5526,0.84,0.7655,0.6667
8390181163687590703,LogisticRegression,0.6006,0.5621,0.9106,0.6006,0.6951,0.5,0.381,0.96,0.6255,0.5455
8390181163687590703,NeuralNetwork,0.6983,0.6732,0.7709,0.6983,0.7188,0.675,0.4889,0.88,0.7309,0.6286
1194728537270577555,RandomForestClassifier,0.9944,0.9944,0.9944,0.9944,0.9944,0.6125,0.4118,0.56,0.5982,0.4746
1194728537270577555,SVM,0.6899,0.7024,0.6592,0.6899,0.6801,0.725,0.5405,0.8,0.7455,0.6452
1194728537270577555,XGBClassifier,0.8799,0.9416,0.8101,0.8799,0.8709,0.7125,0.5357,0.6,0.6818,0.566
1194728537270577555,AdaBoost,0.6715,0.6928,0.6163,0.6715,0.6523,0.7375,0.5625,0.72,0.7327,0.6316
1194728537270577555,LogisticRegression,0.6308,0.5843,0.907,0.6308,0.7107,0.55,0.4,0.88,0.64,0.55
1194728537270577555,NeuralNetwork,0.6831,0.678,0.6977,0.6831,0.6877,0.7125,0.5312,0.68,0.7036,0.5965
1194728537270577555,RandomForestClassifier,0.9913,0.9884,0.9942,0.9913,0.9913,0.725,0.5517,0.64,0.7018,0.5926
1194728537270577555,SVM,0.718,0.7301,0.6919,0.718,0.7104,0.7875,0.625,0.8,0.7909,0.7018
1194728537270577555,XGBClassifier,0.8547,0.872,0.8314,0.8547,0.8512,0.7625,0.6,0.72,0.7509,0.6545
1194728537270577555,AdaBoost,0.6676,0.6863,0.6176,0.6676,0.6502,0.6625,0.4706,0.64,0.6564,0.5424
1194728537270577555,LogisticRegression,0.6353,0.5871,0.9118,0.6353,0.7143,0.475,0.3509,0.8,0.5636,0.4878
8454040798804062518,NeuralNetwork,0.7118,0.7308,0.6706,0.7118,0.6994,0.625,0.4324,0.64,0.6291,0.5161
8454040798804062518,RandomForestClassifier,0.9882,0.9882,0.9882,0.9882,0.9882,0.675,0.4839,0.6,0.6545,0.5357
8454040798804062518,SVM,0.7176,0.7534,0.6471,0.7176,0.6962,0.6625,0.4706,0.64,0.6564,0.5424
8454040798804062518,XGBClassifier,0.8441,0.8462,0.8412,0.8441,0.8437,0.6375,0.4375,0.56,0.6164,0.4912
8454040798804062518,AdaBoost,0.6815,0.6805,0.6845,0.6815,0.6825,0.6375,0.4167,0.4,0.5727,0.4082
8454040798804062518,LogisticRegression,0.6101,0.5743,0.8512,0.6101,0.6859,0.55,0.3878,0.76,0.6073,0.5135
5146368944299790013,NeuralNetwork,0.7321,0.7468,0.7024,0.7321,0.7239,0.6375,0.4167,0.4,0.5727,0.4082
5146368944299790013,RandomForestClassifier,0.9911,0.9882,0.994,0.9911,0.9911,0.6375,0.4286,0.48,0.5945,0.4528
5146368944299790013,SVM,0.7202,0.7342,0.6905,0.7202,0.7117,0.625,0.3913,0.36,0.5527,0.375
